release_tag,release_date,refactoring_type,description,left_files,right_files
androidx-test-1.2.0-beta01,2019-05-06-17,Rename Variable,Rename Variable errorMessage : String to expectedErrorMessage : String in method public runOnMainSyncShouldRethrowAssertionException() : void from class androidx.test.runner.MonitoringInstrumentationTest,runner/monitor/javatests/androidx/test/runner/MonitoringInstrumentationTest.java#L105-L106;runner/monitor/javatests/androidx/test/runner/MonitoringInstrumentationTest.java#L105-L106,runner/monitor/javatests/androidx/test/runner/MonitoringInstrumentationTest.java#L107-L108;runner/monitor/javatests/androidx/test/runner/MonitoringInstrumentationTest.java#L107-L108
androidx-test-1.2.0-beta01,2019-05-06-17,Rename Parameter,Rename Parameter runner : Runnable to runnable : Runnable in method public runOnMainSync(runnable Runnable) : void from class androidx.test.runner.MonitoringInstrumentation,runner/monitor/java/androidx/test/runner/MonitoringInstrumentation.java#L424;runner/monitor/java/androidx/test/runner/MonitoringInstrumentation.java#L425,runner/monitor/java/androidx/test/runner/MonitoringInstrumentation.java#L431;runner/monitor/java/androidx/test/runner/MonitoringInstrumentation.java#L432
androidx-test-1.2.0-beta01,2019-05-06-17,Remove Attribute Modifier,Remove Attribute Modifier static in attribute private activityInvoker : ActivityInvoker from class androidx.test.core.app.ActivityScenario,core/java/androidx/test/core/app/ActivityScenario.java#L117-L119,core/java/androidx/test/core/app/ActivityScenario.java#L139-L141
androidx-test-1.2.0-beta01,2019-05-06-17,Extract Method,Extract Method private launchInternal() : void extracted from public launch(startActivityIntent Intent) : ActivityScenario<A> in class androidx.test.core.app.ActivityScenario,core/java/androidx/test/core/app/ActivityScenario.java#L195-L223;core/java/androidx/test/core/app/ActivityScenario.java#L209;core/java/androidx/test/core/app/ActivityScenario.java#L210;core/java/androidx/test/core/app/ActivityScenario.java#L213-L214;core/java/androidx/test/core/app/ActivityScenario.java#L216;core/java/androidx/test/core/app/ActivityScenario.java#L220,core/java/androidx/test/core/app/ActivityScenario.java#L213-L236;core/java/androidx/test/core/app/ActivityScenario.java#L226;core/java/androidx/test/core/app/ActivityScenario.java#L227;core/java/androidx/test/core/app/ActivityScenario.java#L229;core/java/androidx/test/core/app/ActivityScenario.java#L231;core/java/androidx/test/core/app/ActivityScenario.java#L235;core/java/androidx/test/core/app/ActivityScenario.java#L194-L211;core/java/androidx/test/core/app/ActivityScenario.java#L209;core/java/androidx/test/core/app/ActivityScenario.java#L218-L224
androidx-test-1.2.1-alpha01,2019-06-14-22,Add Attribute Modifier,Add Attribute Modifier final in attribute private timeout : long from class androidx.test.rule.ServiceTestRule,runner/rules/java/androidx/test/rule/ServiceTestRule.java#L85,runner/rules/java/androidx/test/rule/ServiceTestRule.java#L85
androidx-test-1.2.1-alpha01,2019-06-14-22,Add Attribute Modifier,Add Attribute Modifier final in attribute private timeUnit : TimeUnit from class androidx.test.rule.ServiceTestRule,runner/rules/java/androidx/test/rule/ServiceTestRule.java#L86,runner/rules/java/androidx/test/rule/ServiceTestRule.java#L86
androidx-test-1.2.1-alpha01,2019-06-14-22,Change Method Access Modifier,"Change Method Access Modifier private to protected in method protected ServiceTestRule(timeout long, timeUnit TimeUnit) from class androidx.test.rule.ServiceTestRule",runner/rules/java/androidx/test/rule/ServiceTestRule.java#L107-L110,runner/rules/java/androidx/test/rule/ServiceTestRule.java#L96-L99
androidx-test-1.2.1-alpha01,2019-06-14-22,Inline Variable,Inline Variable error : AssertionError in method private waitForActivityToBecomeAnyOf(expectedStates State...) : void from class androidx.test.core.app.ActivityScenario,core/java/androidx/test/core/app/ActivityScenario.java#L303-L308;core/java/androidx/test/core/app/ActivityScenario.java#L310;core/java/androidx/test/core/app/ActivityScenario.java#L321,core/java/androidx/test/core/app/ActivityScenario.java#L303-L307;core/java/androidx/test/core/app/ActivityScenario.java#L310-L314
androidx-test-1.2.1-alpha01,2019-06-14-22,Inline Variable,Inline Variable error : AssertionError in method private waitForActivityToBecomeAnyOf(expectedStates State...) : void from class androidx.test.core.app.ActivityScenario,core/java/androidx/test/core/app/ActivityScenario.java#L313-L319;core/java/androidx/test/core/app/ActivityScenario.java#L310;core/java/androidx/test/core/app/ActivityScenario.java#L321,core/java/androidx/test/core/app/ActivityScenario.java#L303-L307;core/java/androidx/test/core/app/ActivityScenario.java#L310-L314
androidx-test-1.2.1-alpha01,2019-06-14-22,Replace Anonymous With Lambda,"Replace Anonymous With Lambda androidx.test.ext.truth.content.IntentCorrespondences.action.new Correspondence<Intent,Intent> with (actual, expected) -> Objects.equal(actual.getAction(),expected.getAction()) in method public action() : Correspondence<Intent,Intent> from class androidx.test.ext.truth.content.IntentCorrespondences",ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L19-L29;ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L18-L30,ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L20;ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L18-L22
