file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\javatests\androidx\test\espresso\EspressoEdgeCaseTest.java,androidx.test.espresso.EspressoEdgeCaseTest$Anonymous2$Anonymous3,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_junit_runner\javatests\androidx\test\internal\runner\TestRequestBuilderTest.java,androidx.test.internal.runner.TestRequestBuilderTest$SampleRequiresDevice,innerclass,2,2,0,2,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\java\androidx\test\espresso\remote\RemoteProtocolException.java,androidx.test.espresso.remote.RemoteProtocolException,class,1,16,15,1,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_junit_runner\java\androidx\test\internal\util\AndroidRunnerBuilderUtil.java,androidx.test.internal.util.AndroidRunnerBuilderUtil,class,3,6,3,3,10,1,0,13,15,0.0,0.0,0.0,6,6,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,31,8,1,1,1,0,2,1,0,0,0,2,0,0,0,33,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\tools\device_broker\java\com\google\android\apps\common\testing\suite\AndroidDeviceTestSuite.java,com.google.android.apps.common.testing.suite.AndroidDeviceTestSuite,class,3,3,0,3,1,1,0,10,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,138,1,0,0,0,0,4,0,3,0,4,0,0,1,1,32,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\java\androidx\test\espresso\matcher\ViewMatchers.java,androidx.test.espresso.matcher.ViewMatchers$IsClickableMatcher,innerclass,5,5,0,5,3,3,0,2,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,24,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\contrib\java\androidx\test\espresso\contrib\ViewPagerActions.java,androidx.test.espresso.contrib.ViewPagerActions$ViewPagerScrollAction,innerclass,9,9,0,9,3,1,0,7,3,0.0,0.0,0.0,3,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,3,24,1,0,0,1,0,0,0,4,0,2,1,0,0,0,17,1034,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\web\java\androidx\test\espresso\web\webdriver\RemoteWebDriverAtoms.java,androidx.test.espresso.web.webdriver.RemoteWebDriverAtoms,class,43,46,3,43,1,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\rules\java\androidx\test\rule\ActivityTestRule.java,androidx.test.rule.ActivityTestRule$ActivityStatement,innerclass,7,7,0,7,8,2,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,29,0,0,4,1,0,0,0,4,0,3,2,0,0,0,36,2,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_test_orchestrator\javatests\androidx\test\orchestrator\listeners\OrchestrationXmlTestRunListenerTest.java,androidx.test.orchestrator.listeners.OrchestrationXmlTestRunListenerTest$Anonymous1,anonymous,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,13,-1,0
